name,n,nanoseconds
F,1,7776400
F,2,500
F,3,100
F,4,100
F,5,0
F,6,100
F,7,0
F,8,100
F,9,0
F,10,100
F,11,100
F,12,100
F,13,0
F,14,100
F,15,0
F,16,100
F,17,0
F,18,0
F,19,100
F,20,0
F,21,100
F,22,0
F,23,100
F,24,100
F,25,0
F,26,100
F,27,0
F,28,100
F,29,0
F,30,100
F,31,100
F,32,100
F,33,0
F,34,100
F,35,0
F,36,100
F,37,0
F,38,100
F,39,0
F,40,100
F,41,0
F,42,100
F,43,0
F,44,100
F,45,0
F,46,100
F,47,100
F,48,100
F,49,100
F,50,100
F,51,100
F,52,100
F,53,0
F,54,100
F,55,0
F,56,100
F,57,0
F,58,100
F,59,100
F,60,100
F,61,100
F,62,100
F,63,100
F,64,100
F,65,100
F,66,100
F,67,100
F,68,100
F,69,100
F,70,100
F,71,100
F,72,100
F,73,100
F,74,100
F,75,100
F,76,0
F,77,0
F,78,100
F,79,100
F,80,100
F,81,100
F,82,100
F,83,100
F,84,100
F,85,100
F,86,0
F,87,100
F,88,0
F,89,100
F,90,0
F,91,100
F,92,0
F,93,100
F,94,0
F,95,100
F,96,0
F,97,100
F,98,0
F,99,100
F,100,100
F,101,0
F,102,100
F,103,100
F,104,100
F,105,100
F,106,100
F,107,0
F,108,100
F,109,100
F,110,0
F,111,0
F,112,100
F,113,100
F,114,100
F,115,100
F,116,100
F,117,0
F,118,100
F,119,100
F,120,0
F,121,100
F,122,100
F,123,0
F,124,100
F,125,0
F,126,100
F,127,100
F,128,100
F,129,100
F,130,0
F,131,100
F,132,100
F,133,100
F,134,100
F,135,100
F,136,100
F,137,0
F,138,100
F,139,100
F,140,100
F,141,100
F,142,100
F,143,100
F,144,0
F,145,100
F,146,0
F,147,100
F,148,100
F,149,100
F,150,100
F,151,0
F,152,100
F,153,0
F,154,100
F,155,0
F,156,100
F,157,100
F,158,100
F,159,100
F,160,100
F,161,100
F,162,100
F,163,100
F,164,100
F,165,100
F,166,100
F,167,0
F,168,100
F,169,100
F,170,100
F,171,100
F,172,0
F,173,100
F,174,0
F,175,100
F,176,100
F,177,100
F,178,100
F,179,0
F,180,100
F,181,100
F,182,100
F,183,100
F,184,100
F,185,0
F,186,100
F,187,100
F,188,100
F,189,100
F,190,100
F,191,100
F,192,0
F,193,100
F,194,100
F,195,100
F,196,100
F,197,100
F,198,100
F,199,0
F,200,100
F,201,100
F,202,100
F,203,100
F,204,100
F,205,100
F,206,0
F,207,100
F,208,0
F,209,100
F,210,100
F,211,100
F,212,100
F,213,100
F,214,100
F,215,0
F,216,100
F,217,0
F,218,100
F,219,100
F,220,100
F,221,100
F,222,0
F,223,100
F,224,0
F,225,100
F,226,100
F,227,100
F,228,100
F,229,0
F,230,100
F,231,100
F,232,100
F,233,100
F,234,0
F,235,100
F,236,0
F,237,100
F,238,100
F,239,0
F,240,100
F,241,0
F,242,100
F,243,100
F,244,100
F,245,100
F,246,100
F,247,100
F,248,0
F,249,100
F,250,100
F,251,100
F,252,100
F,253,0
F,254,100
F,255,0
F,256,100
F,257,100
F,258,100
F,259,100
F,260,0
F,261,100
F,262,0
F,263,100
F,264,100
F,265,100
F,266,100
F,267,100
F,268,0
F,269,100
F,270,0
F,271,100
F,272,0
F,273,100
F,274,100
F,275,100
F,276,100
F,277,0
F,278,100
F,279,0
F,280,100
F,281,100
F,282,100
F,283,100
F,284,100
F,285,100
F,286,0
F,287,100
F,288,100
F,289,100
F,290,100
F,291,100
F,292,100
F,293,0
F,294,100
F,295,100
F,296,100
F,297,100
F,298,0
F,299,100
F,300,0
F,301,100
F,302,100
F,303,100
F,304,100
F,305,100
F,306,100
F,307,0
F,308,100
F,309,0
F,310,100
F,311,100
F,312,100
F,313,100
F,314,100
F,315,100
F,316,100
F,317,100
F,318,100
F,319,100
F,320,0
F,321,100
F,322,0
F,323,100
F,324,0
F,325,100
F,326,100
F,327,100
F,328,100
F,329,0
F,330,100
F,331,0
F,332,100
F,333,100
F,334,100
F,335,100
F,336,100
F,337,100
F,338,0
F,339,100
F,340,100
F,341,100
F,342,100
F,343,0
F,344,100
F,345,0
F,346,100
F,347,100
F,348,100
F,349,100
F,350,0
F,351,100
F,352,0
F,353,100
F,354,100
F,355,100
F,356,100
F,357,0
F,358,100
F,359,0
F,360,100
F,361,100
F,362,100
F,363,100
F,364,100
F,365,100
F,366,0
F,367,100
F,368,100
F,369,100
F,370,100
F,371,100
F,372,100
F,373,100
F,374,100
F,375,100
F,376,0
F,377,100
F,378,0
F,379,100
F,380,100
F,381,100
F,382,100
F,383,0
F,384,100
F,385,0
F,386,100
F,387,0
F,388,100
F,389,100
F,390,100
F,391,100
F,392,0
F,393,100
F,394,0
F,395,100
F,396,100
F,397,100
F,398,100
F,399,0
F,400,100
F,401,0
F,402,100
F,403,100
F,404,100
F,405,100
F,406,0
F,407,100
F,408,0
F,409,100
F,410,100
F,411,100
F,412,100
F,413,100
F,414,100
F,415,100
F,416,100
F,417,100
F,418,100
F,419,100
F,420,100
F,421,100
F,422,0
F,423,100
F,424,100
F,425,100
F,426,100
F,427,100
F,428,100
F,429,0
F,430,100
F,431,0
F,432,100
F,433,0
F,434,100
F,435,100
F,436,100
F,437,100
F,438,100
F,439,100
F,440,100
F,441,100
F,442,0
F,443,100
F,444,100
F,445,100
F,446,100
F,447,0
F,448,100
F,449,0
F,450,100
F,451,100
F,452,100
F,453,0
F,454,100
F,455,0
F,456,100
F,457,100
F,458,100
F,459,100
F,460,0
F,461,100
F,462,100
F,463,100
F,464,100
F,465,100
F,466,100
F,467,0
F,468,100
F,469,100
F,470,100
F,471,100
F,472,0
F,473,100
F,474,0
F,475,100
F,476,100
F,477,0
F,478,100
F,479,0
F,480,100
F,481,0
F,482,300
F,483,100
F,484,100
F,485,0
F,486,100
F,487,100
F,488,100
F,489,100
F,490,0
F,491,100
F,492,100
F,493,100
F,494,100
F,495,100
F,496,100
F,497,0
F,498,100
F,499,100
F,500,100
F,501,100
F,502,100
F,503,100
F,504,100
F,505,100
F,506,0
F,507,100
F,508,0
F,509,100
F,510,0
F,511,100
F,512,100
F,513,100
F,514,100
F,515,100
F,516,100
F,517,100
F,518,100
F,519,0
F,520,100
F,521,100
F,522,100
F,523,100
F,524,100
F,525,100
F,526,100
F,527,100
F,528,0
F,529,100
F,530,100
F,531,100
F,532,100
F,533,0
F,534,100
F,535,100
F,536,100
F,537,100
F,538,0
F,539,100
F,540,0
F,541,100
F,542,100
F,543,0
F,544,100
F,545,0
F,546,100
F,547,0
F,548,100
F,549,0
F,550,100
F,551,100
F,552,0
F,553,100
